15:11:27.837 [main] INFO  o.m.driver.cluster - [info,71] - Cluster created with settings {hosts=[127.0.0.1:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=1000}
15:11:27.870 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:1, serverValue:36}] to 127.0.0.1:27017
15:11:27.870 [cluster-ClusterId{value='627b619faa00bd6c672de232', description='null'}-127.0.0.1:27017] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:2, serverValue:37}] to 127.0.0.1:27017
15:11:27.872 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:3, serverValue:38}] to 127.0.0.1:27017
15:11:27.874 [cluster-ClusterId{value='627b619faa00bd6c672de232', description='null'}-127.0.0.1:27017] INFO  o.m.driver.cluster - [info,71] - Monitor thread successfully connected to server with description ServerDescription{address=127.0.0.1:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 3]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=2580200}
15:11:27.875 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:4, serverValue:39}] to 127.0.0.1:27017
15:11:27.877 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:5, serverValue:40}] to 127.0.0.1:27017
15:11:27.879 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:6, serverValue:41}] to 127.0.0.1:27017
15:11:27.881 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:7, serverValue:42}] to 127.0.0.1:27017
15:11:27.883 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:8, serverValue:43}] to 127.0.0.1:27017
15:11:27.886 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:9, serverValue:44}] to 127.0.0.1:27017
15:11:27.888 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:10, serverValue:45}] to 127.0.0.1:27017
15:11:27.891 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:11, serverValue:46}] to 127.0.0.1:27017
15:11:28.186 [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
15:11:28.190 [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
15:11:29.338 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8090"]
15:11:29.372 [main] INFO  c.a.c.n.r.NacosServiceRegistry - [register,71] - nacos registry, DEFAULT_GROUP tzgis-search 172.16.21.19:8090 register finished
15:11:29.672 [main] INFO  c.h.t.SearchApplication - [logStarted,61] - Started SearchApplication in 4.594 seconds (JVM running for 5.669)
15:11:37.237 [http-nio-8090-exec-1] INFO  o.a.c.c.C.[.[.[/search] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
15:13:27.857 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:1, serverValue:36}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:13:27.858 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:3, serverValue:38}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:13:27.858 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:4, serverValue:39}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:13:27.858 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:5, serverValue:40}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:13:27.859 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:6, serverValue:41}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:13:27.859 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:7, serverValue:42}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:13:27.859 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:8, serverValue:43}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:13:27.859 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:9, serverValue:44}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:13:27.859 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:10, serverValue:45}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:13:27.859 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:11, serverValue:46}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:13:27.861 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:12, serverValue:47}] to 127.0.0.1:27017
15:13:27.863 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:13, serverValue:48}] to 127.0.0.1:27017
15:13:27.865 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:14, serverValue:49}] to 127.0.0.1:27017
15:13:27.866 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:15, serverValue:50}] to 127.0.0.1:27017
15:13:27.867 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:16, serverValue:51}] to 127.0.0.1:27017
15:13:27.869 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:17, serverValue:52}] to 127.0.0.1:27017
15:13:27.870 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:18, serverValue:53}] to 127.0.0.1:27017
15:13:27.872 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:19, serverValue:54}] to 127.0.0.1:27017
15:13:27.873 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:20, serverValue:55}] to 127.0.0.1:27017
15:13:27.875 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:21, serverValue:56}] to 127.0.0.1:27017
15:15:27.858 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:12, serverValue:47}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:15:27.859 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:13, serverValue:48}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:15:27.859 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:14, serverValue:49}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:15:27.860 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:15, serverValue:50}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:15:27.860 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:16, serverValue:51}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:15:27.860 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:17, serverValue:52}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:15:27.861 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:18, serverValue:53}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:15:27.861 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:19, serverValue:54}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:15:27.861 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:20, serverValue:55}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:15:27.862 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:21, serverValue:56}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:15:27.864 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:22, serverValue:57}] to 127.0.0.1:27017
15:15:27.866 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:23, serverValue:58}] to 127.0.0.1:27017
15:15:27.868 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:24, serverValue:59}] to 127.0.0.1:27017
15:15:27.869 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:25, serverValue:60}] to 127.0.0.1:27017
