17:33:15.126 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:11, serverValue:36}] to 172.16.21.122:27017
17:33:15.317 [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
17:33:15.323 [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
17:33:16.545 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8190"]
17:33:16.583 [main] INFO  c.a.c.n.r.NacosServiceRegistry - [register,71] - nacos registry, DEFAULT_GROUP tzgis-config 172.16.21.122:8190 register finished
17:33:16.835 [main] INFO  c.h.t.ConfigApplication - [logStarted,61] - Started ConfigApplication in 5.554 seconds (JVM running for 7.098)
17:33:22.736 [http-nio-8190-exec-1] INFO  o.a.c.c.C.[.[.[/config] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
17:33:22.840 [http-nio-8190-exec-1] INFO  c.a.d.p.DruidDataSource - [init,994] - {dataSource-1} inited
17:35:15.068 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:1, serverValue:27}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:35:15.068 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:3, serverValue:28}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:35:15.068 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:4, serverValue:29}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:35:15.069 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:5, serverValue:30}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:35:15.069 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:6, serverValue:31}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:35:15.069 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:7, serverValue:32}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:35:15.069 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:8, serverValue:33}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:35:15.069 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:9, serverValue:34}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:35:15.070 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:10, serverValue:35}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:35:15.070 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:11, serverValue:36}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:35:15.072 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:12, serverValue:37}] to 172.16.21.122:27017
17:35:15.073 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:13, serverValue:38}] to 172.16.21.122:27017
17:35:15.075 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:14, serverValue:39}] to 172.16.21.122:27017
17:35:15.076 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:15, serverValue:40}] to 172.16.21.122:27017
